pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,sy_dist,planet_type,nasa_exoplanet_id
AB Pic b,AB Pic,,4290.5,260.0,50.0475,Unknown,27
AF Lep b,AF Lep,,1276.843842282,8.7392,26.8564,Unknown,28
AU Mic b,AU Mic,4.1458838775,18.552425,0.0662625,9.7221,Neptuniano,29
AU Mic c,AU Mic,2.780404132,14.276666666666666,0.1098833333333333,9.7221,Neptuniano,30
AU Mic d,AU Mic,,1.053,,9.7221,Unknown,31
AU Mic e,AU Mic,,28.15,,9.7221,Unknown,32
BD+05 4868 A b,BD+05 4868 A,,6.2,0.0208,43.5687,Unknown,33
BD+14 4559 b,BD+14 4559,,398.8666,0.7785,49.352,Unknown,34
BD+45 564 b,BD+45 564,,432.24663352,0.83,53.622,Unknown,35
BD+55 362 b,BD+55 362,,228.83645304,0.78,52.5697,Unknown,36
BD+60 1417 b,BD+60 1417,14.68376472,4767.426105,1662.0,44.9543,Gigante Gaseoso,37
BD+63 1405 b,BD+63 1405,,2282.00796226,2.0875000000000004,38.0473,Unknown,38
BD-06 1339 b,BD-06 1339,,765.76686317,0.0428,20.2695,Unknown,39
BD-06 1339 c,BD-06 1339,,53.0,0.435,20.2695,Unknown,40
BD-08 2823 b,BD-08 2823,,991.86911058,0.0579999999999999,41.3342,Unknown,41
BD-08 2823 c,BD-08 2823,,104.0,0.68,41.3342,Unknown,42
BD-11 4672 b,BD-11 4672,,187.51475,2.32,27.1665,Unknown,43
BD-11 4672 c,BD-11 4672,,15.37,0.3,27.1665,Unknown,44
BD-17 63 b,BD-17 63,,1383.343057555,1.34,34.4603,Unknown,45
BD-210397 b,BD-210397,,214.0,2.63,23.7324,Unknown,46
BD-210397 c,BD-210397,,1235.08977763,5.920000000000001,23.7324,Unknown,47
Barnard b,Barnard's star,,0.3345,0.02292,1.82655,Unknown,48
Barnard c,Barnard's star,,0.335,0.0274,1.82655,Unknown,49
Barnard d,Barnard's star,,0.263,0.0188,1.82655,Unknown,50
Barnard e,Barnard's star,,0.193,0.0381,1.82655,Unknown,51
CD Cet b,CD Cet,,3.95,0.0185,8.60715,Unknown,52
CD-35 2722 b,CD-35 2722,17.37392009,9614.30931175,67.0,22.3896,Gigante Gaseoso,53
COCONUTS-2 b,COCONUTS-2 A,12.44196858,2272.4731100500003,7506.0,10.8864,Gigante Gaseoso,54
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,,4926.3403085,2.48,14.43,Unknown,55
DE CVn b,DE CVn,,3823.27330161,5.75,30.5225,Unknown,56
DMPP-1 b,DMPP-1,,20.535,0.14425,62.5388,Unknown,57
DMPP-1 c,DMPP-1,,10.27,0.0853,62.5388,Unknown,58
DMPP-1 d,DMPP-1,,4.035,0.043435,62.5388,Unknown,59
DMPP-1 e,DMPP-1,,4.13,0.0651,62.5388,Unknown,60
DMPP-3 A b,DMPP-3 A,,2.61,0.0639933333333333,45.7839,Unknown,61
DMPP-4 b,DMPP-4,,12.2,0.04853,25.3284,Unknown,62
DMPP-6 b,DMPP-6,,5.8,0.0779,54.6303,Unknown,63
DMPP-6 c,DMPP-6,,13.47,0.2206,54.6303,Unknown,64
DS Tuc A b,DS Tuc A,5.835256053333333,413.179,,44.0622,Neptuniano,65
G 192-15 b,G 192-15,,1.03,0.01723,9.53114,Unknown,66
G 192-15 c,G 192-15,,14.3,1.137,9.53114,Unknown,67
G 196-3 b,G 196-3,,8263.538582,350.0,21.7912,Unknown,68
G 261-6 b,G 261-6,,1.37,0.02971,10.6267,Unknown,69
G 264-012 b,G 264-012,,2.5,0.02279,16.009,Unknown,70
G 264-012 c,G 264-012,,3.75,0.0525,16.009,Unknown,71
G 9-40 b,G 9-40,1.99527,7.85,0.04015,27.9276,Super-Tierra,72
GJ 1002 b,GJ 1002,,1.08,0.0457,4.84867,Unknown,73
GJ 1002 c,GJ 1002,,1.36,0.0738,4.84867,Unknown,74
GJ 1061 b,GJ 1061,,1.2400000000000002,0.021,3.67278,Unknown,75
GJ 1061 c,GJ 1061,,1.775,0.0346,3.67278,Unknown,76
GJ 1061 d,GJ 1061,,1.6549999999999998,0.054,3.67278,Unknown,77
GJ 1132 b,GJ 1132,1.2060135116666666,1.677841365,0.0154433333333333,12.613,Terrestre,78
GJ 1132 c,GJ 1132,,2.64,0.0476,12.613,Unknown,79
GJ 1148 b,GJ 1148,,99.71774332333332,0.1660353333333333,11.0143,Unknown,80
GJ 1148 c,GJ 1148,,75.34769291,0.9211,11.0143,Unknown,81
GJ 1151 c,GJ 1151,,10.62,0.5714,8.03625,Unknown,82
GJ 1214 b,GJ 1214,2.656676222222222,6.948750142857143,0.0146866666666666,14.6427,Neptuniano,83
GJ 1252 b,GJ 1252,1.228628015,1.5766666666666669,0.009155,20.373,Terrestre,84
GJ 1265 b,GJ 1265,,7.4,0.026,10.2525,Unknown,85
GJ 1289 b,GJ 1289,,6.27,0.27,8.35147,Unknown,86
GJ 143 b,GJ 143,2.6523128700000003,26.665,0.19235,16.32,Neptuniano,87
GJ 15 A b,GJ 15 A,,4.604955253333333,0.0722999999999999,3.56228,Unknown,88
GJ 15 A c,GJ 15 A,,36.0,5.4,3.56228,Unknown,89
GJ 160.2 b,GJ 160.2,,10.2,0.053,25.8557,Unknown,90
GJ 163 b,GJ 163,,10.6,0.0607,15.1285,Unknown,91
GJ 163 c,GJ 163,,6.8,0.1254,15.1285,Unknown,92
GJ 163 d,GJ 163,,29.4,1.0304,15.1285,Unknown,93
GJ 179 b,GJ 179,,267.18464957,2.4523333333333333,12.356,Unknown,94
GJ 180 b,GJ 180,,7.395,0.0975,11.9407,Unknown,95
GJ 180 c,GJ 180,,6.4,0.129,11.9407,Unknown,96
GJ 180 d,GJ 180,,7.56,0.309,11.9407,Unknown,97
GJ 2030 b,GJ 2030,,4.76742611,0.034,37.0788,Unknown,98
GJ 2030 c,GJ 2030,,4069.15709482,16.761,37.0788,Unknown,99
GJ 2056 b,GJ 2056,,16.2,0.283,28.4434,Unknown,100
GJ 2126 b,GJ 2126,,413.1769291,0.71,38.129,Unknown,101
GJ 229 A c,GJ 229,,7.924683495,0.3615,5.75624,Unknown,102
GJ 229 b,GJ 229,,18.471978376666662,0.9846666666666668,5.756240000000001,Unknown,103
GJ 238 b,GJ 238,0.56442569,,0.02123,15.2142,Terrestre,104
GJ 251 b,GJ 251,,3.925,0.0813,5.58057,Unknown,105
GJ 251 c,GJ 251,,3.88,0.196,5.58057,Unknown,106
GJ 27.1 b,GJ 27.1,,13.0,0.101,23.6062,Unknown,107
GJ 273 b,GJ 273,,2.89,0.091101,5.921535,Unknown,108
GJ 273 c,GJ 273,,1.18,0.036467,5.921535,Unknown,109
GJ 3021 b,GJ 3021,,1071.04,0.49,17.5559,Unknown,110
GJ 3082 b,GJ 3082,,8.2,0.079,16.6186,Unknown,111
GJ 3090 b,GJ 3090,2.13868253,3.93,0.031625,22.4751,Neptuniano,112
GJ 3090 c,GJ 3090,,10.0,0.0997,22.4751,Unknown,113
GJ 3138 b,GJ 3138,,1.78,0.0197,28.4712,Unknown,114
GJ 3138 c,GJ 3138,,4.18,0.057,28.4712,Unknown,115
GJ 3138 d,GJ 3138,,10.5,0.698,28.4712,Unknown,116
GJ 317 b,GJ 317,,571.686077838,1.1138,15.1968,Unknown,117
GJ 317 c,GJ 317,,526.767949384,10.2625,15.1968,Unknown,118
GJ 3222 b,GJ 3222,,11.44182265,0.091,18.23817,Unknown,119
GJ 328 b,GJ 328,,764.374650785,4.305,20.5266,Unknown,120
GJ 328 c,GJ 328,,21.4,0.657,20.5266,Unknown,121
GJ 3293 b,GJ 3293,,24.63,0.143395,20.1903,Unknown,122
GJ 3293 c,GJ 3293,,23.405,0.362875,20.1903,Unknown,123
GJ 3293 d,GJ 3293,,7.6,0.19394,20.1903,Unknown,124
GJ 3293 e,GJ 3293,,3.28,0.08208,20.1903,Unknown,125
GJ 3323 b,GJ 3323,,2.02,0.03282,5.37484,Unknown,126
GJ 3323 c,GJ 3323,,2.31,0.1264,5.37484,Unknown,127
GJ 3341 b,GJ 3341,,6.6,0.089,23.619,Unknown,128
GJ 338 B b,GJ 338 B,,10.435,0.1415,6.33256,Unknown,129
GJ 341 b,GJ 341,0.8739435,4.0,,10.454,Terrestre,130
GJ 3470 b,GJ 3470,4.258643972857143,13.701666666666668,0.034566,29.4214,Neptuniano,131
GJ 3473 b,GJ 3473,1.23736694,1.86,0.01589,27.3644,Terrestre,132
GJ 3473 c,GJ 3473,,7.41,0.0876,27.3644,Unknown,133
GJ 3512 b,GJ 3512,,146.62508428333334,0.3375333333333333,9.48637,Unknown,134
GJ 3512 c,GJ 3512,,103.77097488500002,1.5115,9.48637,Unknown,135
GJ 357 b,GJ 357,1.228983333333333,1.84,0.0355,9.44181,Terrestre,136
GJ 357 c,GJ 357,,3.4,0.061,9.44181,Unknown,137
GJ 357 d,GJ 357,,6.1,0.204,9.44181,Unknown,138
GJ 3634 b,GJ 3634,,8.4,0.0287,20.3779,Unknown,139
GJ 367 b,GJ 367,1.3592533333333332,0.5895,0.007095,9.41263,Super-Tierra,140
GJ 367 c,GJ 367,,4.13,,9.41263,Unknown,141
GJ 367 d,GJ 367,,6.03,,9.41263,Unknown,142
GJ 3779 b,GJ 3779,,8.0,0.026,13.743,Unknown,143
GJ 3929 b,GJ 3929,1.1124289133333332,1.48,0.025445,15.8095,Terrestre,144
GJ 3929 c,GJ 3929,,5.71,0.081,15.8095,Unknown,145
GJ 393 b,GJ 393,,1.71,0.05402,7.03149,Unknown,146
GJ 3942 b,GJ 3942,,7.14,0.0608,16.9287,Unknown,147
GJ 3988 b,GJ 3988,,3.69,0.0405,9.9105,Unknown,148
GJ 3998 b,GJ 3998,,2.4850000000000003,0.0295,18.1459,Unknown,149
GJ 3998 c,GJ 3998,,6.54,0.0895,18.1459,Unknown,150
GJ 3998 d,GJ 3998,,6.07,0.189,18.1459,Unknown,151
GJ 411 b,GJ 411,,2.70464931,0.078362,5.675773,Unknown,152
GJ 414 A b,GJ 414 A,2.63,8.917037355,0.23635,11.8893,Neptuniano,153
GJ 414 A c,GJ 414 A,8.4,56.155213445,1.412,11.8893,Gigante Gaseoso,154
GJ 422 b,GJ 422,,10.485,0.1149999999999999,12.6631,Unknown,155
GJ 4274 b,GJ 4274,,2.97,0.0153,7.23556,Unknown,156
GJ 4274 c,GJ 4274,,8.39,0.186,7.23556,Unknown,157
GJ 4276 b,GJ 4276,,16.57,0.082,21.3362,Unknown,158
GJ 433 b,GJ 433,,5.8724,0.06,9.06456,Unknown,159
GJ 433 c,GJ 433,,38.711,4.2095,9.06456,Unknown,160
GJ 433 d,GJ 433,,5.223,0.178,9.06456,Unknown,161
GJ 436 b,GJ 436,4.081531284545455,22.621083661875,0.0288135714285714,9.75321,Neptuniano,162
GJ 463 b,GJ 463,,810.3829807475,3.53,18.3554,Unknown,163
GJ 480 b,GJ 480,,11.0,0.068,14.2358,Unknown,164
GJ 486 b,GJ 486,1.3152848499999998,2.8633333333333333,0.0172033333333333,8.07426,Super-Tierra,165
GJ 504 b,GJ 504,12.10569916,1271.3,43.5,17.5299,Gigante Gaseoso,166
GJ 508.2 b,GJ 508.2,,587.98255295,4.85,16.6374,Unknown,167
GJ 514 b,GJ 514,,5.2,0.422,7.61778,Unknown,168
GJ 536 b,GJ 536,,6.083333333333333,0.0668033333333333,10.4092,Unknown,169
GJ 536 c,GJ 536,,5.89,0.1617,10.4092,Unknown,170
GJ 581 b,GJ 581,,16.513004514285715,0.0405880428571428,6.2981,Unknown,171
GJ 581 c,GJ 581,,5.6625786116666665,0.0724138333333333,6.298100000000001,Unknown,172
GJ 581 e,GJ 581,,1.8954,0.02871866,6.2981,Unknown,173
GJ 625 b,GJ 625,,2.82,0.078361,6.47249,Unknown,174
GJ 649 b,GJ 649,,91.21551364333334,1.1265,10.3796,Unknown,175
GJ 667 C b,GJ 667 C,,5.635249999999999,0.04998275,7.243959999999999,Unknown,176
GJ 667 C c,GJ 667 C,,4.03725,0.1245025,7.24396,Unknown,177
GJ 667 C e,GJ 667 C,,2.7,0.213,7.24396,Unknown,178
GJ 667 C f,GJ 667 C,,2.7,0.156,7.24396,Unknown,179
GJ 667 C g,GJ 667 C,,4.6,0.549,7.24396,Unknown,180
GJ 674 b,GJ 674,,11.09,0.039,4.54896,Unknown,181
GJ 676 A b,GJ 676 A,,1734.812186668,1.7974,16.0272,Unknown,182
GJ 676 A c,GJ 676 A,,3224.69243362,8.163,16.0272,Unknown,183
GJ 676 A d,GJ 676 A,,4.204646960000001,0.04015,16.0272,Unknown,184
GJ 676 A e,GJ 676 A,,8.758132183333332,0.184,16.0272,Unknown,185
GJ 680 b,GJ 680,,7977.4930157,10.138,9.67315,Unknown,186
GJ 682 b,GJ 682,,4.4,0.08,5.00671,Unknown,187
GJ 682 c,GJ 682,,8.7,0.176,5.00671,Unknown,188
GJ 685 b,GJ 685,,9.0,0.1344,14.3155,Unknown,189
GJ 687 b,GJ 687,,18.0599277275,0.1655825,4.54939,Unknown,190
GJ 687 c,GJ 687,,16.0,1.165,4.54939,Unknown,191
GJ 720 A b,GJ 720 A,,13.64,0.119,15.5575,Unknown,192
GJ 724 b,GJ 724,,10.75,0.04685,16.9658,Unknown,193
GJ 740 b,GJ 740,,2.96,0.029,11.1017,Unknown,194
GJ 806 b,GJ 806,1.504615,1.9,0.01406,12.0445,Super-Tierra,195
GJ 806 c,GJ 806,,5.8,0.0523,12.0445,Unknown,196
GJ 832 b,GJ 832,,252.5970939,3.5501666666666662,4.96435,Unknown,197
GJ 849 b,GJ 849,,287.1760634842857,2.3565,8.80058,Unknown,198
GJ 849 c,GJ 849,,293.5675052633333,4.962,8.80058,Unknown,199
GJ 86 b,GJ 86,,1310.5006,0.1123333333333333,10.7836,Unknown,200
GJ 876 b,GJ 876,,798.5533553277778,0.21191775,4.67517,Unknown,201
GJ 876 c,GJ 876,,242.73511336,0.132647,4.67517,Unknown,202
GJ 876 d,GJ 876,,7.001354208571429,0.0212137433333333,4.67517,Unknown,203
GJ 876 e,GJ 876,,16.393717773333332,0.3435666666666666,4.67517,Unknown,204
GJ 887 b,GJ 887,,5.0,0.0704666666666666,3.28786,Unknown,205
GJ 887 c,GJ 887,,8.1,0.1246666666666666,3.28786,Unknown,206
GJ 887 d,GJ 887,,6.1,0.212,3.28679,Unknown,207
GJ 887 e,GJ 887,,1.46,0.0417,3.28679,Unknown,208
GJ 896 A b,GJ 896 A,,718.29219982,0.63965,6.26022,Unknown,209
GJ 900 b,GJ 900 A,,3496.112477,12000.0,20.8065,Unknown,210
GJ 9066 c,GJ 9066,,69.171982735,0.875,4.471,Unknown,211
GJ 9404 b,GJ 9404,,11.9,0.0943,23.8839,Unknown,212
GJ 96 b,GJ 96,,19.66,0.291,11.9315,Unknown,213
GJ 9689 b,GJ 9689,,9.65,0.1139,30.6203,Unknown,214
GJ 9714 b,GJ 9714,,2988.54051102,12.319,20.5121,Unknown,215
GJ 9773 b,GJ 9773,,172.580825,2.921,15.9211,Unknown,216
GJ 9827 b,GJ 9827,1.592272222222222,4.457142857142857,0.01933,29.661,Super-Tierra,217
GJ 9827 c,GJ 9827,1.2402857142857144,1.6316666666666666,0.0403866666666666,29.661,Terrestre,218
GJ 9827 d,GJ 9827,2.009875,3.511428571428572,0.0569085714285714,29.661,Neptuniano,219
GU Psc b,GU Psc,14.179,3591.3,2000.0,47.5501,Gigante Gaseoso,220
Gaia-5 b,Gaia-5,,6633.07885409,,41.1813,Unknown,221
Gl 378 b,Gl 378,,13.02,0.039435,14.9545,Unknown,222
Gl 410 b,Gl 410,,8.4,0.0531,11.9324,Unknown,223
Gl 49 b,Gl 49,,5.63,0.0905,9.8528,Unknown,224
Gl 686 b,Gl 686,,6.787999999999999,0.0912333333333333,8.15728,Unknown,225
Gl 725 A b,Gl 725 A,,2.78,0.068,3.5214,Unknown,226
Gliese 12 b,Gliese 12,0.9396440675,4.94,0.0669,12.21,Terrestre,227
HAT-P-11 b,HAT-P-11,4.77072023076923,25.28466716,0.052791,37.7647,Neptuniano,228
HAT-P-11 c,HAT-P-11,,696.5963769200001,4.115,37.7647,Unknown,229
HD 100508 b,HD 100508,,381.3940884,6.11,32.7548,Unknown,230
HD 100777 b,HD 100777,,362.3212802033333,1.04,49.5336,Unknown,231
HD 101581 b,HIP 56998,0.967729145,,0.046,12.7781,Terrestre,232
HD 101581 c,HIP 56998,1.00572997,,0.0573,12.7781,Terrestre,233
HD 10180 c,HD 10180,,922.63652226,0.06411,38.9607,Unknown,234
HD 10180 d,HD 10180,,1106.5481848633333,0.128595,38.9607,Unknown,235
HD 10180 e,HD 10180,,25.3426575,0.2699,38.9607,Unknown,236
HD 10180 f,HD 10180,,23.423663,0.4929,38.9607,Unknown,237
HD 10180 g,HD 10180,,1140.0009461133334,1.4245,38.9607,Unknown,238
HD 10180 h,HD 10180,,65.031839,3.3905,38.9607,Unknown,239
HD 101930 b,HD 101930,,87.39875,0.301,30.0274,Unknown,240
HD 102117 b,HD 102117,,53.01294,0.15108,39.5792,Unknown,241
HD 102195 b,HD 102195,,146.0418148575,0.0493666666666666,29.3386,Unknown,242
HD 102843 b,HD 102843,,113.9,4.074,62.758,Unknown,243
HD 103197 b,HD 103197,,29.90235,0.2495,57.1463,Unknown,244
HD 103720 b,HD 103720,,197.046,0.0498,45.5352,Unknown,245
HD 103774 b,HD 103774,,116.0,0.07,56.4089,Unknown,246
HD 103891 b,HD 103891,,688.098501155,3.2625,55.5213,Unknown,247
HD 103949 b,HD 103949,,11.2,0.439,26.4997,Unknown,248
HD 104067 b,HD 104067,,59.114241655,0.26475,20.3632,Unknown,249
HD 104067 c,HD 104067,,13.2,0.1058,20.3632,Unknown,250
HD 105779 b,HD 105779,,203.41018048,3.38,55.2411,Unknown,251
HD 106252 b,HD 106252,,2480.493754,2.65586,38.185,Unknown,252
HD 10647 b,HD 10647,,302.7733333333333,2.039333333333333,17.3357,Unknown,253
HD 106515 A b,HD 106515 A,,3743.0410175325,4.520333333333333,34.0915,Unknown,254
HD 10697 b,HD 10697,,2006.3265445866664,2.1301666666666668,33.1205,Unknown,255
HD 107148 b,HD 107148,,65.63008331,0.3179,49.4156,Unknown,256
HD 107148 c,HD 107148,,19.89605828,0.1407,49.4156,Unknown,257
HD 108147 b,HD 108147,,105.041,0.103,38.92,Unknown,258
HD 108202 b,HD 108202,,931.23723251,3.6815,38.6846,Unknown,259
HD 108236 b,HD 108236,1.5847116633333334,,0.046085,64.5978,Super-Tierra,260
HD 108236 c,HD 108236,2.06524934,,0.06355,64.5978,Neptuniano,261
HD 108236 e,HD 108236,3.0685476033333337,,0.13835,64.5978,Neptuniano,262
HD 108236 f,HD 108236,2.017,,0.1758,64.5978,Neptuniano,263
HD 108341 b,HD 108341,,913.756957875,2.0145,48.9102,Unknown,264
HD 108874 b,HD 108874,,444.8752996057143,1.0492857142857142,59.5175,Unknown,265
HD 108874 c,HD 108874,,331.748511114,2.7194,59.5175,Unknown,266
HD 109271 b,HD 109271,,17.162,0.079,55.8716,Unknown,267
HD 109271 c,HD 109271,,24.154,0.196,55.8716,Unknown,268
HD 109286 b,HD 109286,,950.30693693,1.259,55.4156,Unknown,269
HD 109749 b,HD 109749,,87.93183333333333,0.0616666666666666,63.0821,Unknown,270
HD 109988 b,HD 109988,,6935.33366915,12.518,42.5279,Unknown,271
HD 110067 b,HD 110067,2.2,5.69,0.0793,32.1585,Neptuniano,272
HD 110067 c,HD 110067,2.388,6.3,0.1039,32.1585,Neptuniano,273
HD 110067 d,HD 110067,2.852,8.52,0.1362,32.1585,Neptuniano,274
HD 110067 e,HD 110067,1.94,3.9,0.1785,32.1585,Super-Tierra,275
HD 110067 f,HD 110067,2.601,5.04,0.2163,32.1585,Neptuniano,276
HD 110067 g,HD 110067,2.607,8.4,0.2621,32.1585,Neptuniano,277
HD 110537 b,HD 110537,,8612.83200129,16.714,45.0858,Unknown,278
HD 11112 b,HD 11112,,2598.56505563,13.38,44.3804,Unknown,279
HD 111232 b,HD 111232,,2350.595740025,2.0078,28.9571,Unknown,280
HD 111232 c,HD 111232,,6159.99127027,18.025,28.9571,Unknown,281
HD 111998 b,HD 111998,,1479.4948267999998,1.865,33.2237,Unknown,282
HD 112300 b,HD 112300,,5031.22368281,1.33,62.07324,Unknown,283
HD 113337 b,HD 113337,,973.4985928033332,0.971,36.18,Unknown,284
HD 113337 c,HD 113337,,5374.637276575,6.805,36.18,Unknown,285
HD 113538 b,HD 113538,,100.11,0.975,16.2817,Unknown,286
HD 113538 c,HD 113538,,260.61,2.435,16.2817,Unknown,287
HD 114386 b,HD 114386,,406.81522474,1.7466666666666668,27.9243,Unknown,288
HD 114386 c,HD 114386,,117.59651059,1.05,27.9243,Unknown,289
HD 114729 b,HD 114729,,292.20947780800003,2.0902000000000003,37.8063,Unknown,290
HD 114783 b,HD 114783,,331.168354586,1.1746,21.0628,Unknown,291
HD 114783 c,HD 114783,,368.68119545,5.0,21.0628,Unknown,292
HD 11505 b,HD 11505,,2510.52658689,20.247,38.9679,Unknown,293
HD 11506 b,HD 11506,,1489.01015638,2.715125,51.261,Unknown,294
HD 11506 c,HD 11506,,149.820936996,0.7310000000000001,51.261,Unknown,295
HD 11506 d,HD 11506,,3102.3230807266664,14.578333333333331,51.261,Unknown,296
HD 115404 A b,HD 115404 A,,30.82935548,0.088,10.9816,Unknown,297
HD 115404 A c,HD 115404 A,,3279.67133183,11.364,10.9816,Unknown,298
HD 117207 b,HD 117207,,611.6112894614287,3.769,32.3547,Unknown,299
HD 117618 b,HD 117618,,55.78573,0.174,37.7781,Unknown,300
HD 11964 b,HD 11964,,194.436153705,3.228333333333333,33.5369,Unknown,301
HD 11964 c,HD 11964,,24.67282799,0.23025,33.5369,Unknown,302
HD 121504 b,HD 121504,,433.96165,0.33,41.6592,Unknown,303
HD 12235 b,HD 12235,,10.48833743,0.054,31.7627,Unknown,304
HD 12235 c,HD 12235,,3135.69506346,22.21,31.7627,Unknown,305
HD 122562 c,HD 122562,,73.10053361,0.406,53.2528,Unknown,306
HD 124330 b,HD 124330,,238.37130525,0.86,60.1977,Unknown,307
HD 12484 b,HD 12484,,947.1334,0.297,48.3367,Unknown,308
HD 125271 b,HD 125271,,3465.60094993,10.817,39.3466,Unknown,309
HD 125595 b,HD 125595,,1183.52140059,0.08045,28.1989,Unknown,310
HD 125612 b,HD 125612,,1007.498116484,1.3322,57.6207,Unknown,311
HD 125612 c,HD 125612,,17.018080646666665,0.0511333333333333,57.6207,Unknown,312
HD 125612 d,HD 125612,,2293.7249018166667,4.080666666666667,57.6207,Unknown,313
HD 126525 b,HD 126525,,75.32571,1.837,37.6506,Unknown,314
HD 12661 b,HD 12661,,758.2873026642857,0.8238428571428571,37.8478,Unknown,315
HD 12661 c,HD 12661,,651.30201736,2.8729,37.8478,Unknown,316
HD 127506 b,HD 127506,,27.333243,0.287,22.5279,Unknown,317
HD 128311 b,HD 128311,,624.993014,1.0754,16.3292,Unknown,318
HD 128311 c,HD 128311,,1060.82603855,1.74675,16.3292,Unknown,319
HD 128356 b,HD 128356,,282.8687,0.87,26.1548,Unknown,320
HD 130322 b,HD 130322,,346.364880654,0.0905999999999999,31.876600000000003,Unknown,321
HD 133131 A b,HD 133131 A,,451.3186,1.44,51.4736,Unknown,322
HD 133131 A c,HD 133131 A,,133.4886,4.49,51.4736,Unknown,323
HD 133131 B b,HD 133131 B,,794.575,6.15,51.2993,Unknown,324
HD 134060 b,HD 134060,,10.1,0.0444,24.0125,Unknown,325
HD 134060 c,HD 134060,,29.29,2.3928,24.0125,Unknown,326
HD 134606 b,HD 134606,,9.09,0.1046,26.7909,Unknown,327
HD 134606 c,HD 134606,,11.31,0.3007,26.7909,Unknown,328
HD 134606 d,HD 134606,,44.8,1.941,26.7909,Unknown,329
HD 134606 e,HD 134606,,2.34,0.0527,26.7909,Unknown,330
HD 134606 f,HD 134606,,5.63,0.1784,26.7909,Unknown,331
HD 134987 b,HD 134987,,513.1645065939999,0.8156000000000001,26.1804,Unknown,332
HD 134987 c,HD 134987,,278.584780275,6.21,26.1804,Unknown,333
HD 135625 b,HD 135625,,731.0053361,5.4,56.518,Unknown,334
HD 136118 b,HD 136118,,4704.178252005,2.34,51.4359,Unknown,335
HD 136352 b,HD 136352,1.582803215,4.826,0.09622,14.682,Super-Tierra,336
HD 136352 c,HD 136352,2.77150696,11.124,0.1716599999999999,14.682,Neptuniano,337
HD 136352 d,HD 136352,2.229944203333333,9.472,0.42472,14.682,Neptuniano,338
HD 136925 b,HD 136925,,266.97586188,5.13,47.874,Unknown,339
HD 13724 c,HD 13724,,50.85254512,0.534,43.465,Unknown,340
HD 137388 b,HD 137388,,67.21955,0.89,40.4841,Unknown,341
HD 13808 b,HD 13808,,11.2,0.10519,28.2305,Unknown,342
HD 13808 c,HD 13808,,9.96,0.2554,28.2305,Unknown,343
HD 13931 b,HD 13931,,680.749845076,5.2402500000000005,47.3963,Unknown,344
HD 140901 b,HD 140901,,15.57359194,0.085,15.2528,Unknown,345
HD 140901 c,HD 140901,,1284.662421095,9.6105,15.2528,Unknown,346
HD 141004 b,HD 141004,,13.26741933,0.12315,11.8148,Unknown,347
HD 141399 b,HD 141399,,144.40052332000002,0.4183666666666667,37.0169,Unknown,348
HD 141399 c,HD 141399,,425.7855509666667,0.6947666666666666,37.0169,Unknown,349
